Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
"AppName",Application name,ProxyForge,ProxyForge,ProxyForge,ProxyForge,ProxyForge,ProxyForge,ProxyForge,ProxyForge,
"SettingsName",Settings page name,ProxyForge 設定,ProxyForge Settings,ProxyForge 设置,ProxyForge 設定,ProxyForge 설정,Configuración de ProxyForge,إعدادات ProxyForge,Pengaturan ProxyForge,
"StorageDisk",Storage type disk,ディスク,Disk,磁盘,磁碟,디스크,Disco,القرص,Disk,
"ProxyGenerationStatusGenerating",Proxy generation generating status,生成中...,Generating...,正在生成...,正在產生...,생성 중...,Generando...,جارٍ الإنشاء...,Sedang membuat...,
"ProxyGenerationStatusQueued",Proxy generation queued status,待機中...,Queued...,排队中...,佇列中...,대기 중...,En cola...,في الانتظار...,Menunggu...,
"ProxyGenerationStatusCompleted",Proxy generation completed status,完了,Completed,完成,完成,완료,Completado,مكتمل,Selesai,
"ProxyGenerationStatusCanceled",Proxy generation canceled status,キャンセル,Canceled,已取消,已取消,취소됨,Cancelado,تم الإلغاء,Dibatalkan,
"ProxyGenerationStatusFailedPrefix",Proxy generation failed prefix,失敗: ,Failed: ,失败: ,失敗: ,실패: ,Error: ,فشل: ,Gagal: ,
"CacheSummaryLoading",Cache summary loading text,読み込み中...,Loading...,加载中...,載入中...,불러오는 중...,Cargando...,جارٍ التحميل...,Memuat...,
"CacheNoEntriesToDelete",No cache entries to delete message,削除するキャッシュがありません。,There is no cache to delete.,没有可删除的缓存。,沒有可刪除的快取。,삭제할 캐시가 없습니다.,No hay caché para eliminar.,لا توجد ذاكرة تخزين مؤقت للحذف.,Tidak ada cache untuk dihapus.,
"CacheDeleteSummaryFormat",Cache delete result summary format,{0} 件 ({1}) を削除しました。,Deleted {0} items ({1}).,已删除 {0} 项（{1}）。,已刪除 {0} 項（{1}）。,{0}개 항목({1})을 삭제했습니다.,Se eliminaron {0} elementos ({1}).,تم حذف {0} عنصرًا ({1}).,{0} item ({1}) telah dihapus.,
"CacheSummaryPluginNotInitialized",Plugin not initialized cache summary,プラグイン未初期化,Plugin not initialized,插件未初始化,外掛未初始化,플러그인이 초기화되지 않음,Plugin no inicializado,لم تتم تهيئة المكوّن الإضافي,Plugin belum diinisialisasi,
"CacheSummaryCountFormat",Cache entry count summary format,キャッシュ数: {0} 件,Cache count: {0} items,缓存数: {0} 项,快取數: {0} 項,캐시 수: {0}개,Conteo de caché: {0} elementos,عدد عناصر التخزين المؤقت: {0},Jumlah cache: {0} item,
"CacheUsageDiskFormat",Disk cache usage summary format,ディスク: {0} 件 ({1}),Disk: {0} items ({1}),磁盘: {0} 项（{1}）,磁碟: {0} 項（{1}）,디스크: {0}개({1}),Disco: {0} elementos ({1}),القرص: {0} عنصر ({1}),Disk: {0} item ({1}),
"GenerationPopupWindowTitle",Generation popup window title,ProxyForge - プロキシ生成中,ProxyForge - Generating Proxy,ProxyForge - 正在生成代理,ProxyForge - 正在產生代理,ProxyForge - 프록시 생성 중,ProxyForge - Generando proxy,ProxyForge - جارٍ إنشاء الوكيل,ProxyForge - Sedang Membuat Proksi,
"GenerationPopupHeader",Generation popup header text,プロキシ動画を生成しています...,Generating proxy video...,正在生成代理视频...,正在產生代理影片...,프록시 영상을 생성하는 중...,Generando video proxy...,جارٍ إنشاء فيديو وكيل...,Sedang membuat video proksi...,
"GenerationPopupNoActiveItems",No active generation items message,生成中のプロキシはありません,There are no proxies being generated.,当前没有正在生成的代理。,目前沒有正在產生的代理。,생성 중인 프록시가 없습니다.,No hay proxies en generación.,لا توجد عناصر وكيل قيد الإنشاء.,Tidak ada proksi yang sedang dibuat.,
"SettingsCardDescription",Settings card description,低解像度のプロキシ動画で編集を高速化,Speed up editing with low-resolution proxy videos,通过低分辨率代理视频加速编辑,透過低解析度代理影片加速編輯,저해상도 프록시 영상으로 편집 속도 향상,Acelera la edición con videos proxy de baja resolución,تسريع التحرير باستخدام فيديوهات وكيلة منخفضة الدقة,Tingkatkan kecepatan edit dengan video proksi resolusi rendah,
"SectionBasicSettingsHeader",Basic settings section header,基本設定,Basic Settings,基本设置,基本設定,기본 설정,Configuración básica,الإعدادات الأساسية,Pengaturan Dasar,
"SectionBasicSettingsDescription",Basic settings section description,プロキシ動画の基本的な動作を設定します,Configure the basic behavior of proxy videos,设置代理视频的基本行为,設定代理影片的基本行為,프록시 영상의 기본 동작을 설정합니다,Configura el comportamiento básico de los videos proxy,اضبط السلوك الأساسي لفيديوهات الوكيل,Atur perilaku dasar video proksi,
"SettingUseProxyLabel",Use proxy setting label,プロキシを使用する,Use proxy,使用代理,使用代理,프록시 사용,Usar proxy,استخدام الوكيل,Gunakan proksi,
"SettingUseProxyTooltip",Use proxy setting tooltip,編集中に低解像度のプロキシ動画を使用します。&#10;出力時は自動でオリジナルに切り替わります。,Use a low-resolution proxy video while editing.&#10;Automatically switches to the original on export.,编辑时使用低分辨率代理视频。&#10;导出时自动切换为原始视频。,編輯時使用低解析度代理影片。&#10;輸出時會自動切換為原始影片。,편집 중에는 저해상도 프록시 영상을 사용합니다.&#10;내보낼 때는 원본으로 자동 전환됩니다.,Usa un video proxy de baja resolución durante la edición.&#10;Al exportar cambia automáticamente al original.,استخدم فيديو وكيل منخفض الدقة أثناء التحرير.&#10;يتم التبديل تلقائيًا إلى الأصل عند التصدير.,Gunakan video proksi resolusi rendah saat mengedit.&#10;Akan otomatis beralih ke video asli saat ekspor.,
"SettingResolutionScaleLabel",Resolution scale setting label,解像度スケール,Resolution Scale,分辨率缩放,解析度縮放,해상도 배율,Escala de resolución,مقياس الدقة,Skala Resolusi,
"SettingResolutionScaleTooltip",Resolution scale setting tooltip,プロキシ動画の解像度倍率,Resolution scale factor for proxy video,代理视频的分辨率倍率,代理影片的解析度倍率,프록시 영상의 해상도 배율,Factor de escala de resolución para video proxy,معامل مقياس الدقة لفيديو الوكيل,Faktor skala resolusi untuk video proksi,
"SettingMinFileSizeLabel",Minimum file size setting label,最小ファイルサイズ,Minimum File Size,最小文件大小,最小檔案大小,최소 파일 크기,Tamaño mínimo de archivo,الحد الأدنى لحجم الملف,Ukuran File Minimum,
"SettingMinFileSizeTooltip",Minimum file size setting tooltip,このサイズ以上の動画のみプロキシを生成します,Generate proxy only for videos larger than this size,仅为大于此大小的视频生成代理,僅為大於此大小的影片產生代理,이 크기 이상의 영상만 프록시를 생성합니다,Solo genera proxy para videos mayores que este tamaño,إنشاء وكيل فقط للفيديوهات الأكبر من هذا الحجم,Buat proksi hanya untuk video yang lebih besar dari ukuran ini,
"SectionQualitySettingsHeader",Quality settings section header,品質設定,Quality Settings,质量设置,品質設定,품질 설정,Configuración de calidad,إعدادات الجودة,Pengaturan Kualitas,
"SectionQualitySettingsDescription",Quality settings section description,エンコード品質とパフォーマンスのバランスを調整します,Adjust the balance between encoding quality and performance,调整编码质量与性能之间的平衡,調整編碼品質與效能之間的平衡,인코딩 품질과 성능의 균형을 조정합니다,Ajusta el equilibrio entre calidad de codificación y rendimiento,اضبط التوازن بين جودة الترميز والأداء,Sesuaikan keseimbangan antara kualitas encoding dan performa,
"SettingBitrateFactorLabel",Bitrate factor setting label,ビットレート係数,Bitrate Factor,比特率系数,位元率係數,비트레이트 계수,Factor de bitrate,معامل معدل البت,Faktor Bitrate,
"SettingBitrateFactorTooltip",Bitrate factor setting tooltip,高いほど高品質ですがファイルサイズが増えます,Higher value gives better quality but a larger file,值越高画质越好但文件越大,值越高畫質越好但檔案越大,값이 높을수록 품질은 좋아지지만 파일이 커집니다,Un valor más alto mejora la calidad pero aumenta el tamaño del archivo,القيمة الأعلى تعطي جودة أفضل لكن حجم ملف أكبر,Nilai lebih tinggi memberi kualitas lebih baik tetapi ukuran file lebih besar,
"SettingGopSizeLabel",GOP size setting label,GOPサイズ,GOP Size,GOP 大小,GOP 大小,GOP 크기,Tamaño GOP,حجم GOP,Ukuran GOP,
"SettingGopSizeTooltip",GOP size setting tooltip,キーフレーム間隔,Keyframe interval,关键帧间隔,關鍵影格間隔,키프레임 간격,Intervalo de fotogramas clave,الفاصل بين الإطارات المفتاحية,Interval keyframe,
"SectionAutomationSettingsHeader",Automation settings section header,自動化設定,Automation Settings,自动化设置,自動化設定,자동화 설정,Configuración de automatización,إعدادات الأتمتة,Pengaturan Otomatisasi,
"SettingAutoGenerateLabel",Auto generate setting label,自動生成,Auto Generate,自动生成,自動產生,자동 생성,Generación automática,إنشاء تلقائي,Buat Otomatis,
"SettingClearCacheOnExitLabel",Clear cache on exit setting label,終了時にキャッシュクリア,Clear Cache on Exit,退出时清除缓存,結束時清除快取,종료 시 캐시 지우기,Borrar caché al salir,مسح التخزين المؤقت عند الإنهاء,Hapus Cache saat Keluar,
"SectionAdvancedSettingsHeader",Advanced settings section header,詳細設定,Advanced Settings,高级设置,進階設定,고급 설정,Configuración avanzada,الإعدادات المتقدمة,Pengaturan Lanjutan,
"SettingEnableAdvancedLabel",Enable advanced settings label,詳細設定を有効にする,Enable Advanced Settings,启用高级设置,啟用進階設定,고급 설정 활성화,Habilitar configuración avanzada,تمكين الإعدادات المتقدمة,Aktifkan Pengaturan Lanjutan,
"SettingHardwareAccelerationLabel",Hardware acceleration setting label,ハードウェアアクセラレーション,Hardware Acceleration,硬件加速,硬體加速,하드웨어 가속,Aceleración por hardware,تسريع العتاد,Akselerasi Perangkat Keras,
"SectionCacheManagementHeader",Cache management section header,キャッシュ管理,Cache Management,缓存管理,快取管理,캐시 관리,Gestión de caché,إدارة التخزين المؤقت,Manajemen Cache,
"ButtonRefreshInfo",Refresh info button label,情報を更新,Refresh Info,刷新信息,更新資訊,정보 새로고침,Actualizar información,تحديث المعلومات,Perbarui Info,
"ButtonClearCache",Clear cache button label,キャッシュをクリア,Clear Cache,清除缓存,清除快取,캐시 지우기,Borrar caché,مسح التخزين المؤقت,Hapus Cache,
"CacheListHeader",Cache list header,キャッシュ一覧,Cache List,缓存列表,快取清單,캐시 목록,Lista de caché,قائمة التخزين المؤقت,Daftar Cache,
"CacheListEmpty",Empty cache list message,キャッシュはありません,There is no cache.,没有缓存。,沒有快取。,캐시가 없습니다.,No hay caché.,لا توجد ذاكرة تخزين مؤقت.,Tidak ada cache.,
"SectionVideoCacheHeader",Video cache section header,映像キャッシュ,Video Cache,视频缓存,影片快取,영상 캐시,Caché de video,ذاكرة الفيديو المؤقتة,Cache Video,
"SectionVideoCacheDescription",Video cache section description,プロキシ動画をディスクに永続保存し起動時間を短縮します,Persist proxy videos to disk to reduce startup time,将代理视频持久保存到磁盘以缩短启动时间,將代理影片永久保存到磁碟以縮短啟動時間,프록시 영상을 디스크에 영구 저장하여 시작 시간을 단축합니다,Guarda videos proxy en disco para reducir el tiempo de inicio,حفظ فيديوهات الوكيل على القرص لتقليل وقت البدء,Simpan video proksi ke disk untuk mengurangi waktu startup,
"SettingEnableVideoCacheLabel",Enable video cache label,映像キャッシュを有効にする,Enable Video Cache,启用视频缓存,啟用影片快取,영상 캐시 활성화,Habilitar caché de video,تمكين ذاكرة الفيديو المؤقتة,Aktifkan Cache Video,
